type,actor,behavior,object,ae,ap,aa,be,bp,ba,oe,op,oa,pae,pap,paa,pbe,pbp,pba,poe,pop,poa,def,dae,daa,dap,dbe,dbp,dba,doe,dop,doa
harm,person,hit,child,0.93,0.95,0.35,-2.66,1.3,2.12,1.89,-1.14,1.87,-2.4755211,1.174776,1.14038,-2.65618364,1.33754,1.4165,0.4573799999999998,-1.7502499999999999,1.3147000000000002,15.50229804022486,-3.4055211,0.79038,0.2247760000000001,0.003816360000000074,0.03753999999999991,-0.7035,-1.43262,-0.61025,-0.5552999999999999
harm,person,push,child,0.93,0.95,0.35,-1.83,1.04,1.5,1.89,-1.14,1.87,-1.69963605,1.030313,0.9238,-1.88301082,1.10242,1.0529,0.6493269999999998,-1.568395,1.3313000000000001,9.470276645819677,-2.6296360500000002,0.5738,0.08031300000000008,-0.0530108199999999,0.06241999999999992,-0.44710000000000005,-1.2406730000000001,-0.4283950000000001,-0.5387
harm,person,harm,child,0.93,0.95,0.35,-3.26,1.35,1.3,1.89,-1.14,1.87,-2.8937870999999995,1.2250610000000002,0.9558,-3.05770604,1.4109399999999999,0.8677000000000001,0.3264449999999999,-1.8743999999999998,1.3027000000000002,18.60139668772489,-3.8237870999999997,0.6058,0.2750610000000002,0.20229396,0.06093999999999977,-0.4322999999999999,-1.563555,-0.7343999999999999,-0.5672999999999999
harm,person,hit,adopted_child,0.93,0.95,0.35,-2.66,1.3,2.12,1.97,-0.1,0.18,-2.22860318,1.175848,1.14038,-2.4953097200000003,1.343956,1.4165,0.44384799999999996,-1.345526,0.1497,15.057842214252592,-3.15860318,0.79038,0.22584800000000005,0.16469027999999986,0.043955999999999884,-0.7035,-1.526152,-1.245526,-0.030299999999999994
harm,person,hit,scared_child,0.93,0.95,0.35,-2.66,1.3,2.12,-1.06,-1.35,1.06,-1.26847876,1.1352460000000002,1.14038,-1.6087894400000002,1.48235,1.4165,-0.93749,-1.443732,0.7021000000000001,7.2774196949666505,-2.19847876,0.79038,0.18524600000000024,1.05121056,0.18235,-0.7035,0.12251000000000001,-0.09373199999999993,-0.3579
authority,student,insult,professor,1.67,0.48,0.11,-2.6,-0.06,1.4,1.83,2.27,0.24,-1.029992,0.35806000000000004,0.84666,-1.8238012000000001,0.32424000000000003,0.9362999999999999,0.410214,0.22421000000000002,0.0678,15.043338613881442,-2.699992,0.73666,-0.12193999999999994,0.7761988,0.38424,-0.4637,-1.419786,-2.04579,-0.1722
authority,student,slander,professor,1.67,0.48,0.11,-3.18,0.69,1.4,1.83,2.27,0.24,-1.4763867000000002,0.7000460000000001,0.88146,-2.2450259600000004,0.8831119999999999,0.9130999999999999,0.23372500000000004,-0.11915500000000004,0.0562,19.98179827932081,-3.1463867,0.77146,0.22004600000000007,0.9349740399999997,0.19311199999999995,-0.4869,-1.596275,-2.389155,-0.1838
authority,student,yell_at,professor,1.67,0.48,0.11,-1.74,1.13,2.64,1.83,2.27,0.24,-0.7487771000000001,0.808638,1.146476,-1.4322822800000001,1.107016,1.7643000000000002,0.5455210000000001,0.21882500000000002,0.085,13.776067224628408,-2.4187771,1.036476,0.328638,0.30771771999999986,-0.022983999999999893,-0.8756999999999999,-1.284479,-2.051175,-0.15499999999999997
authority,student,insult,aloof_professor,1.67,0.48,0.11,-2.6,-0.06,1.4,0.19,0.76,-0.8,-0.852485,0.33510000000000006,0.84666,-1.4861116,0.38786000000000004,0.9362999999999999,-0.453778,-0.47281999999999996,-0.5923,10.560372733763561,-2.522485,0.73666,-0.14489999999999992,1.1138884,0.44786000000000004,-0.4637,-0.643778,-1.23282,0.2077
authority,student,insult,strict_professor,1.67,0.48,0.11,-2.6,-0.06,1.4,0.27,1.76,0.15,-0.5582858,0.3362200000000001,0.84666,-1.3358428,0.39402000000000004,0.9362999999999999,-0.384654,0.16604,-0.012900000000000009,10.543660278509481,-2.2282858,0.73666,-0.1437799999999999,1.2641572,0.45402000000000003,-0.4637,-0.6546540000000001,-1.59396,-0.1629
loyalty,person,betray,spouse,0.93,0.95,0.35,-3.34,0.53,0.26,2.7,1.94,0.39,-2.18269564,0.912645,0.68084,-2.6564548,0.815998,0.19890000000000002,0.684464,-0.454138,0.19460000000000002,20.18495004568705,-3.11269564,0.33084,-0.037354999999999916,0.6835451999999997,0.285998,-0.06109999999999999,-2.015536,-2.394138,-0.1954
loyalty,person,cheat_on,spouse,0.93,0.95,0.35,-3.64,0.4,0.08,2.7,1.94,0.39,-2.3643694400000004,0.8745200000000001,0.65042,-2.8619008000000004,0.7369079999999999,0.0717,0.6212239999999999,-0.5229880000000001,0.18860000000000002,22.09601517583056,-3.2943694400000005,0.30042,-0.07547999999999988,0.7780991999999998,0.3369079999999999,-0.008300000000000002,-2.0787760000000004,-2.462988,-0.2014
loyalty,person,lie_to,spouse,0.93,0.95,0.35,-2.52,0.73,-0.19,2.7,1.94,0.39,-1.56784392,0.9558850000000001,0.51059,-1.9734744000000002,0.923444,-0.05629999999999999,0.869902,-0.233794,0.21100000000000002,14.725714576637328,-2.49784392,0.16059,0.00588500000000014,0.5465255999999998,0.19344400000000006,0.1337,-1.8300980000000002,-2.173794,-0.179
loyalty,person,betray,naïve_spouse,0.93,0.95,0.35,-3.34,0.53,0.26,0.12,0.32,-0.76,-1.4308206399999999,0.895617,0.68084,-1.87247488,0.980914,0.19890000000000002,-0.538126,-0.9336679999999999,-0.5608000000000001,10.091067259866023,-2.36082064,0.33084,-0.05438299999999996,1.46752512,0.4509139999999999,-0.06109999999999999,-0.658126,-1.253668,0.19919999999999993
loyalty,person,betray,adventurous_spouse,0.93,0.95,0.35,-3.34,0.53,0.26,2.41,2.02,1.14,-2.01509278,0.9107310000000001,0.68084,-2.51145884,0.837156,0.19890000000000002,0.5734189999999999,-0.3067159999999998,0.6769,18.570225839136274,-2.94509278,0.33084,-0.03926899999999989,0.8285411599999999,0.307156,-0.06109999999999999,-1.8365810000000002,-2.326716,-0.46309999999999996
